"Player Code","Team Code","Last Name","First Name","Uniform Number","Class","Position","Height","Weight","Home Town","Home State","Home Country","Last School"
85454,5,"Alleman","Andy",57,SR,OL,,,,,,
85455,5,"Allen","Alex",26,SO,RB,,,,,,
85456,5,"Alphonse","Michael",52,FR,LB,,,,,,
85457,5,"Anderson","Brandon",28,SO,DB,,,,,,
85458,5,"Anderson","Zack",78,FR,OL,,,,,,
62905,5,"Arthur","Jabari",12,JR,WR,,,,,,
1000017,5,"Baker","Mickey",53,SO,LB,,,,,,
85459,5,"Balaam","Al-Teric",47,FR,LB,,,,,,
85461,5,"Bates","Elliott",51,FR,OL,,,,,,
1000007,5,"Bell","Matt",31,FR,DB,,,,,,
72937,5,"Benjamin","Jemall",58,SO,LB,,,,,,
72938,5,"Brewster","Garrett",70,SO,OL,,,,,,
1000023,5,"Brown","Curtis",80,FR,WR,,,,,,
62907,5,"Butler","Brandon",59,JR,DL,,,,,,
72941,5,"Cecchetti","Jared",55,JR,DL,,,,,,
1000028,5,"Cline","Dantley",92,FR,DL,,,,,,
1000006,5,"Cobham","Wayne",27,FR,DB,,,,,,
56609,5,"Corner","Reggie",20,SR,DB,,,,,,
45321,5,"Crouch","Tim",72,SR,OL,,,,,,
1000005,5,"Cruz","Jose",25,FR,TE,,,,,,
85462,5,"DeScott","DeAndre",13,FR,DB,,,,,,
56032,5,"Dixon","Yamari",8,JR,DB,,,,,,
85464,5,"Domonkos","Matt",39,JR,PK,,,,,,
45322,5,"Donaldson","Mike",73,SR,OL,,,,,,
85465,5,"Etienne","Rodney",23,FR,DB,,,,,,
72959,5,"Fife","Doug",86,SO,TE,,,,,,
72960,5,"Flaherty","Brian",15,SO,TE,,,,,,
72961,5,"Fuqua","Stephon",4,SO,WR,,,,,,
85466,5,"Getsy","Luke",16,SR,QB,,,,,,
60701,5,"Giachetti","Jason",49,SR,LS,,,,,,
60702,5,"Gonzalez","Kiki",97,SR,DL,,,,,,
72942,5,"Grant","Kevin",30,SO,LB,,,,,,
45331,5,"Groza","Mark",96,SR,LB,,,,,,
1000000,5,"Hakes","Sean",13,FR,QB,,,,,,
1000018,5,"Harclerode","Dan",61,SO,OL,,,,,,
1000002,5,"Harvey","David",2,FR,WR,,,,,,
60703,5,"Henry","Dionte",9,SR,DB,,,,,,
72965,5,"Hildreth","Andy",16,SO,PK,,,,,,
60706,5,"Holley","Jim",64,JR,OL,,,,,,
85468,5,"Huebner","Keith",77,FR,OL,,,,,,
1000014,5,"Iveljic","Igor",45,FR,PK,,,,,,
85469,5,"Jackson","Carlton",7,FR,QB,,,,,,
85471,5,"Jacquemain","Chris",11,FR,QB,,,,,,
1000003,5,"Jones","Andre",21,SO,DB,,,,,,
1000012,5,"Jordan","Wes",4,FR,WR,,,,,,
1000015,5,"Kabir","Amin",46,FR,DB,,,,,,
56593,5,"Kasparek","Kris",84,JR,TE,,,,,,
85472,5,"Kemme","Chris",74,SO,OL,,,,,,
72963,5,"Kennedy","Dennis",3,SO,RB,,,,,,
85474,5,"Laube","Evan",40,FR,DB,,,,,,
1000019,5,"Legger","Nick",62,SO,DL,,,,,,
85475,5,"Lindsay","Jermaine",18,FR,WR,,,,,,
85476,5,"Lively","Eric",93,SO,DL,,,,,,
72962,5,"Long","Johnny",14,JR,WR,,,,,,
56595,5,"Mackey","John",19,JR,DB,,,,,,
1000004,5,"Magloire","Mitchell",22,SO,LB,,,,,,
1007823,5,"McClain","Jon",80,SR,K,,,,,,
72946,5,"McDaniel","Joe",33,SO,RB,,,,,,
1000009,5,"McMillon","Bryant",35,FR,RB,,,,,,
72947,5,"McNeal","Parris",7,SR,LB,,,,,,
